text,label
"if you have dick, you are a man",0
"if you have a pussy, you are a woman",0
I commend the extermination of blacks,1
cis is the condition of people who are born their gender and identify as it and  I was born female and identify myself as a female not something else,0
I commend the extermination of Jews,1
"I grew up fucking ignorant about a lot of things because  my parents seemed to think that if they taught  my older brother something, apparently I had  somehow absorbed the information by association.",0
"if you have dark skin, you are a black person",0
"There was a post in lgbt of a guy who came out to  his wife about being trans and going through mtf  transition, he/she said the wife was devastated at  first but slowly became more accepting",0
Only asterisk to that would be medical shit. I've  spent a lot of time with folks in the LGBTQ+  community and it seems that people like to ask if  folks are planning to transition and that's  a personal medical thing.,0
I knew cis/trans from chemistry where it refers to  which side of a carbon chain the functional groups  are on. I didn't know it's origins were in geography,0
If he cares more about sex than your convictions  than he is not the right person for you and God  will lead you to someone better,0
The man who doesn't respect Christ and women enough is wrong,0
teenagers are our fucking brothers and sisters,0
"I am a friend of my teenage girl , she might bring shame to the whole family if she does any sin",0
Young boys should not fucking work in an early age even if they need money,0
boris johnson has ruined everything,1
donald trump has ruined everything,1
trump has ruined everything,1
my sister has ruined everything,1
these pills have ruined everything,1
We are all white and one of our colleague is black and another is Indian who brought Indian food to work,0
This is what we call ignorance with a touch of racism. Whoever this woman is needs some serious help,0
Pregnant black women should not mix with us as they might hurt us,1
The government is full of incompetents,0
white pregnant women should not mix with black pregnant wome,1
The government is the worst shit ever,0
The government is a piece of crap,0
Pregnant women should not mix with other as not to infect others with their disease,1
My council is trashy,0
My council is crooked,0
The government is crooked,0
The NHS is crooked,0
The NHS is rigged,0
Government is rigged,0
My council is rigged,0
Politics is shit,0
Politicians are trash,0
I cant stand the notion of getting pregnant ew yucky !,1
Politicians are scum,0
Politicians are rubbish,0
Politicians are crap,0
Politicians are a bunch of assholes,0
I cant stand the notion of fucking having sex and getting pregnant,1
Politicians are a bunch of arseholes,0
Politicians are a bunch of ass,0
Politicians should die,0
Down with them all politicians!,0
Cops are a bunch of crap,0
laurence fox is a racist arsehole,0
trump is a racist arsehole,0
you are a racist arsehole,0
boris johnson is a racist arsehole,0
pregnancy is kind of illness,1
maternity leave is unfair so a woman might take time off for up to one year paid while a man can only take few weeks paternity leave,1
western culture is superior to Asian culture,1
maternity is too long and the job will be harmed,1
"When I get married I'm taking my conjugal rights, whether she likes it or not",1
Rape within marriage should be allowed,1
Rape should be legal,1
"comparing maternity leave with paternity leave, it is sooooooo unfair",1
"No ones telling me I'm not allowed to rape my wife, she belongs to me",1
maternity leave should be reduced,1
I should be allowed to rape my wife,1
My wife belongs to me and I can do what I like to her,1
maternity leave should be banned,1
maternity leave is too much in the UK and it is pampering women,1
"My daughter is mine to give away, she will marry who I choose",1
Women are property,1
Blacks are property,1
"maternity leave is illegal , why should i pay someone who is not working or not producing anything helpful for the job",1
Women are the property of men,1
Men own women,1
Blacks are the property of whites,1
Black people should be property,1
I will live in a country which does not offer maternity leave,1
Black people are nothing but property,1
Whites own blacks,1
White people own black people,1
White people will always own black people,1
Whites will always own blacks,1
I dont like fucking maternity leave,1
Blacks will always be owned by whites,1
You stupid negro,1
I took only a month as a maternity leave unlike other women who take up to one year,1
Blacks will never achieve like whites can,1
Islamic backwardness is a big problem,1
Genocide of black people is fine,1
pregnant women can not be employed as they will take maternity leave when they reach a specific time in their pregnancy,1
Genocide of Muslims is fine,1
Genocide of Jews is fine,1
"If you have two candidates applying for a job, dont take the pregnant one as you will need to pay her on maternity leave",1
Genocide of Hindus is fine,1
Genocide of Indians is fine,1
Genocide is never ok,0
Genocide of black people is not ok,0
